# Solver: SOR
# RadialSteps: 10
# AngularSteps: 50
# DeltaR: 3.000000000000e-03
# DeltaTheta: 1.256637061436e-01
# Tolerance: 1.000000000000e-10
# MaximumIterations: 250000
# Iterations: 8596
# Converged: True
# ResidualNorm: 1.421897435856e-07
# Omega: 1.800000
# UnifiedIndex	RadialIndex	AngularIndex	Radius	Theta	X	Y	Temperature
0	0	0	2.000000000000e-02	0.000000000000e+00	2.000000000000e-02	0.000000000000e+00	1.094250197230e+02
1	0	1	2.000000000000e-02	1.256637061436e-01	1.984229402629e-02	2.506664671286e-03	1.099988872311e+02
2	0	2	2.000000000000e-02	2.513274122872e-01	1.937166322257e-02	4.973797743297e-03	1.105859260096e+02
3	0	3	2.000000000000e-02	3.769911184308e-01	1.859552971777e-02	7.362491053694e-03	1.111748234807e+02
4	0	4	2.000000000000e-02	5.026548245744e-01	1.752613360088e-02	9.635073482034e-03	1.117531961342e+02
5	0	5	2.000000000000e-02	6.283185307180e-01	1.618033988750e-02	1.175570504585e-02	1.123081547121e+02
6	0	6	2.000000000000e-02	7.539822368616e-01	1.457937254843e-02	1.369094211857e-02	1.128268725993e+02
7	0	7	2.000000000000e-02	8.796459430051e-01	1.274847979497e-02	1.541026485552e-02	1.132971009215e+02
8	0	8	2.000000000000e-02	1.005309649149e+00	1.071653589958e-02	1.688655851004e-02	1.137076067035e+02
9	0	9	2.000000000000e-02	1.130973355292e+00	8.515585831301e-03	1.809654104932e-02	1.140485305013e+02
10	0	10	2.000000000000e-02	1.256637061436e+00	6.180339887499e-03	1.902113032590e-02	1.143116689801e+02
11	0	11	2.000000000000e-02	1.382300767580e+00	3.747626291714e-03	1.964574501457e-02	1.144906903177e+02
12	0	12	2.000000000000e-02	1.507964473723e+00	1.255810390586e-03	1.996053456857e-02	1.145812896039e+02
13	0	13	2.000000000000e-02	1.633628179867e+00	-1.255810390586e-03	1.996053456857e-02	1.145812896042e+02
14	0	14	2.000000000000e-02	1.759291886010e+00	-3.747626291714e-03	1.964574501457e-02	1.144906903184e+02
